TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
04:24:39,740,N,ASCENT,-1.72,26.06,4642.35,1088.75,3.69,-0.77,-0.34,-0.85,0.04,0.12,-0.32,-36.84,25.62,-0.7,3.06,10:14:00,1785.76,44.72,-177.33,6,CAL_ALTITUDE
00:57:17,106,N,DESCENT,37.66,5.05,2139.2,978.17,4.13,-0.27,0.44,-0.3,1.49,0.96,-0.22,16.48,-32.0,33.78,2.4,03:13:05,1885.22,26.07,50.02,11,CAL_ALTITUDE
01:12:21,401,N,ASCENT,31.81,34.43,3441.25,1079.97,3.68,-0.28,-0.09,0.45,0.61,1.16,-1.09,41.33,-6.27,-23.32,2.21,23:03:06,1012.22,-45.36,43.15,0,CAL_ALTITUDE
02:49:07,947,S,DESCENT,18.66,39.28,215.89,93948.0,3.3,-0.59,-0.07,0.66,1.21,-1.63,-0.8,26.12,28.36,-16.24,4.21,12:50:35,66.17,-88.8,-54.69,0,CAL_ALTITUDE
06:13:18,214,S,ASCENT,25.9,33.91,2412.02,93948.0,3.66,-0.33,0.76,0.68,-0.33,1.12,-0.63,35.31,16.71,30.54,0.19,10:09:33,1025.93,-61.1,-109.47,8,CAL_ALTITUDE
05:12:43,276,N,ASCENT,9.55,11.62,2598.43,1044.92,3.5,-0.07,-0.61,0.64,-0.02,1.55,-1.75,-36.26,-0.31,-41.69,0.66,19:34:11,6.36,47.32,60.02,8,CAL_ALTITUDE
07:59:11,348,S,ASCENT,17.45,39.14,4206.07,93948.0,4.19,0.05,0.62,-0.73,1.97,-1.98,-0.66,-25.69,-48.26,9.53,2.32,00:40:27,852.14,-39.87,-99.38,3,CAL_ALTITUDE
09:30:17,192,N,ASCENT,7.3,11.83,1534.18,1079.76,3.13,-0.52,0.82,0.8,1.32,1.53,1.71,-5.13,-42.35,24.08,4.39,11:54:50,642.39,27.72,-19.23,11,CAL_ALTITUDE
05:36:15,708,S,DESCENT,-4.3,7.56,3834.7,93948.0,4.14,-0.65,-0.77,-0.49,-0.32,0.25,0.84,15.24,-29.01,7.48,2.14,03:11:47,1969.05,-4.01,55.94,2,CAL_ALTITUDE
00:53:58,405,S,DESCENT,-13.19,30.02,2217.49,93948.0,3.75,-0.1,-0.42,-0.19,0.56,1.18,0.36,-28.29,42.7,-35.67,4.99,01:55:44,1523.16,-51.33,126.19,0,CAL_ALTITUDE
04:16:19,511,N,DESCENT,36.02,29.1,4657.81,970.42,4.0,-0.38,0.96,0.58,1.74,1.34,-1.77,-47.54,-0.68,13.21,4.51,23:02:22,856.15,27.11,-34.38,3,CAL_ALTITUDE
