TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
00:44:04,822,N,DESCENT,2.06,37.33,674.39,977.47,3.25,0.89,-0.15,-0.28,-0.02,-0.04,0.09,-20.23,-6.63,43.14,3.67,17:35:40,199.65,72.07,-0.71,10,CAL_ALTITUDE
06:41:21,844,N,ASCENT,38.3,30.89,3490.51,957.9,3.69,0.29,-0.67,-0.59,-1.02,-1.02,1.76,-9.89,16.88,14.4,1.26,05:35:09,1275.08,64.72,-154.78,1,CAL_ALTITUDE
06:37:02,865,N,DESCENT,7.96,29.11,2749.82,916.09,3.31,0.9,-0.27,-0.69,-0.91,0.67,1.73,18.08,-22.17,-2.89,4.03,15:04:34,171.06,11.08,101.84,7,CAL_ALTITUDE
04:17:28,75,N,DESCENT,7.58,35.73,1405.46,1070.66,4.0,0.03,0.13,-0.8,1.68,1.12,0.98,-11.87,17.38,-34.21,2.61,20:32:04,1945.98,-27.07,0.69,11,CAL_ALTITUDE
09:01:01,719,N,ASCENT,1.66,24.52,3921.33,1001.78,3.99,0.46,-0.2,0.96,0.68,0.2,1.7,12.62,-29.43,-5.52,3.73,19:41:22,935.39,-70.59,167.98,1,CAL_ALTITUDE
09:07:42,189,N,DESCENT,28.63,18.4,2108.38,1046.24,3.75,0.86,-0.73,0.81,-0.59,0.92,1.25,44.01,16.76,43.55,1.97,23:07:38,779.98,17.75,-92.64,9,CAL_ALTITUDE
00:12:15,881,N,ASCENT,4.06,1.76,4577.27,918.7,3.66,-0.58,0.52,-0.77,0.55,1.22,-1.44,44.95,24.97,-43.97,3.36,19:26:51,763.04,-36.43,125.57,0,CAL_ALTITUDE
04:31:36,742,N,DESCENT,17.88,25.59,4175.75,1044.4,3.07,-0.45,-0.12,0.31,0.14,1.6,-0.03,-31.52,-43.97,20.44,1.48,13:09:36,124.53,19.31,-140.79,0,CAL_ALTITUDE
05:07:10,124,N,ASCENT,-1.71,49.37,3998.28,905.71,3.44,-0.86,-0.25,0.86,-0.57,1.92,-0.9,14.76,-47.83,-42.57,4.03,23:27:55,1833.39,-64.36,179.7,1,CAL_ALTITUDE
09:42:53,338,N,ASCENT,29.78,20.45,3287.18,1072.07,4.2,0.84,0.07,0.65,-1.95,-1.22,-1.62,16.43,2.95,-29.98,0.74,13:01:25,610.41,-85.28,161.62,0,CAL_ALTITUDE
09:01:11,906,N,ASCENT,6.77,22.09,1454.42,937.18,3.91,-0.12,0.53,0.99,-1.01,-1.95,1.23,-12.71,18.68,-46.08,0.73,07:10:31,1270.97,89.81,30.94,8,CAL_ALTITUDE
00:33:07,456,N,ASCENT,-12.13,40.39,3126.35,964.07,4.15,-0.74,-0.48,0.56,-1.09,-1.62,1.92,24.45,41.46,26.27,3.67,20:57:41,512.87,-10.17,116.4,10,CAL_ALTITUDE
01:40:08,166,N,DESCENT,23.83,26.46,1316.54,1093.53,3.29,-0.41,-0.79,-0.34,-1.3,-0.67,-0.94,-42.98,13.63,37.87,3.52,12:45:39,81.84,-2.01,-95.07,11,CAL_ALTITUDE
04:40:31,785,N,ASCENT,17.87,25.18,4114.38,910.47,3.09,-0.73,0.11,-0.88,-0.38,1.27,1.06,-4.68,40.57,41.89,2.17,17:26:54,1933.17,60.13,-6.74,12,CAL_ALTITUDE
09:45:04,674,N,DESCENT,16.3,6.54,358.54,910.71,3.49,-0.02,-0.48,0.6,-1.84,0.58,-1.78,42.5,-24.98,-26.79,0.88,09:32:29,1869.89,-55.57,-161.71,1,CAL_ALTITUDE
09:16:58,363,N,DESCENT,-11.36,45.07,4926.96,970.12,3.46,-0.29,-0.84,-0.01,1.87,0.36,-0.97,-25.64,-20.2,-45.86,2.64,14:03:26,747.04,-54.97,-86.06,8,CAL_ALTITUDE
09:15:32,899,N,ASCENT,13.04,42.02,1429.04,916.17,3.02,-0.32,0.19,-0.52,-1.3,-0.71,1.98,-21.43,-39.83,-32.06,2.29,02:04:07,495.55,-18.93,19.75,0,CAL_ALTITUDE
