TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
02:06:55,514,N,DESCENT,39.35,1.11,3386.66,944.94,3.84,0.78,0.43,0.77,1.34,1.62,-0.94,-22.32,37.53,30.58,4.92,14:04:05,900.05,-42.94,98.59,5,CAL_ALTITUDE
09:25:51,712,N,ASCENT,28.94,1.02,1821.14,1025.98,3.27,0.9,0.37,0.07,-0.5,-1.5,-1.66,15.79,-5.84,-16.57,2.06,21:59:29,1443.17,54.6,-155.03,10,CAL_ALTITUDE
02:37:21,212,N,ASCENT,14.76,26.39,3804.76,928.09,3.12,0.88,-0.08,-0.29,0.86,-0.94,-1.65,25.6,15.71,4.11,4.96,15:42:24,1270.31,83.51,26.09,7,CAL_ALTITUDE
09:13:43,896,N,ASCENT,-6.09,22.95,4084.12,944.92,3.3,0.98,0.04,-0.83,-1.37,-1.16,-0.09,-2.29,-1.27,-4.04,4.97,17:41:49,1587.29,-2.35,-42.38,0,CAL_ALTITUDE
06:34:36,743,N,DESCENT,-10.38,5.66,4236.95,1001.2,3.23,0.19,-0.88,-0.44,-1.48,1.13,1.36,-8.72,47.74,4.0,5.0,13:43:08,1362.75,-0.1,-111.31,7,CAL_ALTITUDE
04:47:10,217,N,DESCENT,-6.19,24.78,3954.8,927.16,3.33,-0.42,-0.7,-0.69,0.61,-1.92,0.87,29.62,23.58,-38.14,4.96,08:05:00,535.71,-65.37,135.67,9,CAL_ALTITUDE
05:52:50,428,N,ASCENT,-18.71,28.25,1068.21,1040.72,3.65,0.54,0.1,-0.55,0.45,0.95,0.28,13.01,11.21,45.25,3.02,17:00:04,1416.64,42.85,-98.34,5,CAL_ALTITUDE
09:11:20,65,N,ASCENT,32.0,10.69,1552.41,963.49,3.05,0.65,0.94,0.06,0.68,-0.94,0.21,-10.14,27.77,29.85,0.07,13:21:44,1150.82,50.79,90.76,4,CAL_ALTITUDE
03:41:55,157,N,DESCENT,35.79,32.37,965.64,986.39,3.0,-0.23,0.97,-0.54,1.7,1.83,0.93,39.88,-43.23,34.7,3.93,16:05:19,314.3,-66.95,-95.12,1,CAL_ALTITUDE
05:09:52,102,N,ASCENT,-6.45,48.62,1963.87,977.77,4.14,-0.57,-0.15,0.36,0.45,-1.52,1.78,22.3,29.7,8.47,1.37,19:06:52,262.21,-13.3,6.31,10,CAL_ALTITUDE
02:25:32,721,N,ASCENT,31.05,38.24,4237.45,1027.34,3.06,0.83,0.48,0.1,-0.42,1.07,-0.81,-42.59,-43.61,25.53,0.45,12:38:55,1337.23,-19.82,94.44,7,CAL_ALTITUDE
05:49:13,948,N,ASCENT,4.64,34.97,2487.75,971.75,3.93,-0.02,0.78,0.53,-0.33,1.26,1.82,42.05,-4.47,-9.1,4.04,05:57:39,1275.17,79.18,-140.34,2,CAL_ALTITUDE
05:38:06,759,N,ASCENT,-16.63,14.7,437.52,937.45,3.13,0.34,0.78,-0.11,0.51,-0.2,-0.8,-18.09,27.24,-47.37,3.75,08:15:38,866.86,83.64,131.96,9,CAL_ALTITUDE
03:32:54,727,N,ASCENT,-12.61,13.17,1032.77,1026.21,3.83,-0.15,0.08,0.75,1.27,1.83,1.1,-33.89,3.67,-24.59,3.04,17:11:49,202.15,48.76,-10.13,8,CAL_ALTITUDE
01:39:17,958,N,DESCENT,3.8,43.47,944.64,1022.25,3.94,0.74,0.6,0.61,-0.75,1.19,0.14,10.78,39.7,19.58,4.66,11:56:26,224.8,-31.71,42.79,5,CAL_ALTITUDE
